seed,episode,stepaif_action,ql_action,aif_reward,ql_reward,q_pi,G
0,0,0,4,3,-0.01,-0.01,"[3.44948355e-09 3.44948369e-09 3.44948352e-09 3.44948366e-09
 2.27395570e-05 2.43915316e-09 2.43915305e-09 2.43915309e-09
 2.43915314e-09 1.60786051e-05 3.44948352e-09 3.44948366e-09
 3.44948355e-09 3.44948369e-09 2.27395570e-05 2.43915309e-09
 2.43915314e-09 2.43915316e-09 2.43915305e-09 1.60786051e-05
 1.22113023e-01 1.22107456e-01 1.22113023e-01 1.22107456e-01
 5.11481360e-01]","[-19.43057984 -19.43057984 -19.43057985 -19.43057984 -18.88097765
 -19.43057985 -19.43057985 -19.43057985 -19.43057985 -18.88098032
 -19.43057985 -19.43057984 -19.43057984 -19.43057984 -18.88097765
 -19.43057985 -19.43057985 -19.43057985 -19.43057985 -18.88098032
 -18.33151953 -18.33152238 -18.33151953 -18.33152238 -18.24202295]"
0,0,1,3,3,-0.01,-0.01,"[1.07289308e-07 1.07256303e-07 1.07294664e-07 1.07255948e-07
 5.83436286e-05 7.58139263e-08 7.58402212e-08 7.58366922e-08
 7.58135902e-08 4.12355398e-05 1.07294664e-07 1.07255948e-07
 1.07289308e-07 1.07256303e-07 5.83436286e-05 7.58366922e-08
 7.58135902e-08 7.58139263e-08 7.58402212e-08 4.12355398e-05
 1.89597863e-01 1.89413805e-01 1.89597863e-01 1.89413805e-01
 2.41776040e-01]","[-19.01296045 -19.0129794  -19.01295737 -19.01297949 -18.61818583
 -19.01300121 -19.01297994 -19.01298287 -19.0130014  -18.61821375
 -19.01295737 -19.01297949 -19.01296045 -19.0129794  -18.61818583
 -19.01298287 -19.0130014  -19.01300121 -19.01297994 -18.61821375
 -18.09669733 -18.0967564  -18.09669733 -18.0967564  -18.08124683]"
0,0,2,0,4,-0.01,-0.01,"[3.45061928e-09 3.45067611e-09 3.45068529e-09 3.45056033e-09
 2.28597732e-05 2.43989564e-09 2.43986446e-09 2.43990129e-09
 2.43986772e-09 1.61630554e-05 3.45071194e-09 3.45072380e-09
 3.45066167e-09 3.45074203e-09 2.28589451e-05 3.45051278e-09
 3.45058701e-09 3.45060210e-09 3.45061100e-09 2.28594034e-05
 1.22586127e-01 1.22573718e-01 1.22576415e-01 1.22587227e-01
 5.09591722e-01]","[-19.43044764 -19.43044709 -19.43044698 -19.43044834 -18.88052012
 -19.43044886 -19.43044926 -19.43044877 -19.43044922 -18.88052417
 -19.43044677 -19.43044669 -19.43044735 -19.43044653 -18.88052306
 -19.43044884 -19.43044801 -19.43044787 -19.43044777 -18.88052057
 -18.33117172 -18.33117824 -18.33117704 -18.33117101 -18.24211956]"
0,0,3,4,2,-0.01,-0.01,"[3.88634222e-09 3.88646866e-09 3.28282510e-10 4.04670495e-09
 2.55745202e-05 2.74726878e-09 2.72838831e-09 2.32928550e-10
 2.84585475e-09 1.80929457e-05 2.29052133e-10 2.33699878e-10
 2.29661239e-10 2.33672285e-10 1.52418075e-06 9.90573680e-10
 9.95365008e-10 9.95271095e-10 1.58364345e-10 6.57240940e-06
 1.36847069e-01 1.38467270e-01 1.16711730e-02 1.43338266e-01
 5.69624433e-01]","[-19.21502417 -19.21502194 -19.36643455 -19.21258238 -18.66544268
 -19.21514547 -19.21547851 -19.36631798 -19.21302477 -18.66552015
 -19.36716624 -19.36605938 -19.36701842 -19.36606544 -18.81697354
 -19.28053803 -19.28034828 -19.28035308 -19.39248233 -18.73057488
 -18.11613825 -18.11553808 -18.26704736 -18.1134522  -18.02709627]"
0,0,4,0,2,-0.01,0.2,"[1.69865865e-07 1.71079452e-07 4.59408786e-09 1.59278527e-07
 8.83539564e-05 9.67951428e-08 9.38646453e-08 2.92983795e-09
 9.21400131e-08 4.99556710e-05 4.63196883e-09 5.17805091e-09
 5.07913824e-09 5.19301877e-09 2.68571597e-06 3.05252979e-06
 3.28137512e-06 3.28969798e-06 3.88271864e-08 1.70272841e-03
 2.31137384e-01 2.39797790e-01 7.26238465e-03 2.28534022e-01
 2.91414222e-01]","[-18.53651818 -18.53624702 -18.76113578 -18.54047248 -18.1445243
 -18.54999056 -18.55159359 -18.76744574 -18.55290459 -18.15830923
 -18.75273334 -18.74614937 -18.74723631 -18.74600734 -18.35418612
 -18.35694471 -18.35281432 -18.35269308 -18.62926888 -17.96083858
 -17.63616402 -17.63415107 -17.85158762 -17.63701564 -17.62170708]"
0,0,5,3,1,0.2,0.2,"[3.80979633e-09 3.80896377e-09 3.05637061e-09 3.76108036e-09
 2.36812536e-05 2.66034788e-09 2.66171492e-09 2.16194833e-09
 2.63992885e-09 1.65399748e-05 3.33414484e-09 3.36387290e-09
 3.33855946e-09 3.36373005e-09 2.09300424e-05 4.22806470e-09
 4.24611373e-09 4.24593716e-09 3.13702707e-09 2.63940881e-05
 1.30044556e-01 1.30153070e-01 1.05790658e-01 1.29128124e-01
 5.04795992e-01]","[-19.22602993 -19.22604217 -19.23922558 -19.22674323 -18.67976721
 -19.22681669 -19.22675723 -19.2392388  -19.22723809 -18.68054157
 -19.23373045 -19.23325097 -19.23365784 -19.23325309 -18.68693018
 -19.21966158 -19.21946654 -19.21946861 -19.23770685 -18.67320294
 -18.12879338 -18.12878248 -18.14119158 -18.12921417 -18.04387504]"
0,0,6,1,2,-0.01,0.2,"[3.55725730e-09 3.56637159e-09 3.56671468e-09 3.44956438e-09
 2.28668596e-05 2.51890033e-09 2.49359647e-09 2.51910367e-09
 2.45462393e-09 1.61500903e-05 2.47591686e-09 2.50555394e-09
 2.46154799e-09 2.50546340e-09 1.60612330e-05 3.46050952e-09
 3.52482784e-09 3.52471232e-09 3.52489480e-09 2.26008715e-05
 1.24339679e-01 1.25840156e-01 1.25847504e-01 1.22596325e-01
 5.01298609e-01]","[-18.82096166 -18.82083432 -18.82082921 -18.82273406 -18.27274815
 -18.82093911 -18.82148616 -18.82093487 -18.82240606 -18.2728552
 -18.8219185  -18.8212593  -18.82225522 -18.82126539 -18.27319203
 -18.82251415 -18.82147845 -18.82148492 -18.82148229 -18.27339633
 -17.72245439 -17.72179151 -17.72179324 -17.72327687 -17.63527376]"
0,0,7,0,0,0.2,-0.01,"[4.01848060e-09 4.16439773e-09 4.21922242e-09 5.43370955e-10
 2.70123903e-05 4.51691722e-09 4.52125031e-09 4.55962347e-09
 5.27562714e-10 2.93082554e-05 9.27189463e-10 9.15331719e-10
 1.85049321e-10 9.26298436e-10 6.00865043e-06 1.24056185e-09
 1.14223320e-09 1.24061125e-09 1.06410874e-09 8.04779525e-06
 1.39741135e-01 1.37551441e-01 1.41678186e-01 1.81913331e-02
 5.62767493e-01]","[-19.18784448 -19.18592895 -19.18501224 -19.31184338 -18.63717344
 -19.18089646 -19.18083945 -19.18020697 -19.31366537 -18.63212132
 -19.25336866 -19.25396581 -19.35267013 -19.25342659 -18.7046687
 -19.26438889 -19.26918655 -19.26438679 -19.27350022 -18.71562685
 -18.08986604 -18.09061797 -18.08891256 -18.21592785 -18.00269154]"
0,0,8,4,2,-1.0,-1.0,"[3.89511889e-09 3.89306144e-09 3.87571080e-09 1.87338236e-09
 2.54004111e-05 2.58347946e-09 2.56304969e-09 2.58217480e-09
 1.31075538e-09 1.68564570e-05 1.95229848e-09 1.98761250e-09
 1.13290085e-09 1.98730778e-09 1.29656184e-05 2.61069440e-09
 2.75395657e-09 2.75334715e-09 2.42410447e-09 1.79638782e-05
 1.30196428e-01 1.32565700e-01 1.32379353e-01 6.72002383e-02
 5.37585054e-01]","[-18.79043455 -18.79046528 -18.79067001 -18.83510854 -18.24137333
 -18.79447821 -18.79484344 -18.79444283 -18.83588354 -18.24538452
 -18.81125045 -18.81029685 -18.84444043 -18.81030507 -18.26121608
 -18.81332815 -18.81026252 -18.81027455 -18.81780542 -18.26118402
 -17.69478697 -17.6938431  -17.69385789 -17.73529532 -17.60625241]"
0,1,0,2,0,-0.01,-0.01,"[6.40556416e-08 8.90468765e-08 2.52303263e-08 2.35876933e-08
 4.40444051e-05 7.35138935e-08 2.52992938e-08 2.53752132e-08
 2.41964901e-08 3.63746175e-05 2.61984847e-09 1.15849129e-08
 1.25030346e-11 1.20592397e-08 5.95557646e-06 1.91557875e-08
 5.91903082e-08 6.21063053e-08 6.49218578e-11 3.07794857e-05
 9.51571680e-02 3.08015506e-01 1.11268540e-01 1.04774099e-01
 3.80667015e-01]","[-16.79035478 -16.77069566 -16.84867664 -16.85247046 -16.38161062
 -16.76217306 -16.82718553 -16.82788518 -16.83045551 -16.37306569
 -16.98167626 -16.89029382 -17.31659606 -16.8879635  -16.49897352
 -16.853188   -16.78392928 -16.78109963 -17.21005344 -16.39189331
 -15.88594687 -15.81386214 -15.87689652 -15.88024354 -15.80050842]"
